Test Number,Compression Level,No. Tests,Accuracy

0,60,30,57.1803
1,59,30,62.4475
2,58,30,45.6481
3,57,30,46.7286
4,56,30,48.3113
5,55,30,55.3228
6,54,30,45.5297
7,53,30,41.1983
8,52,30,40.3063
9,51,30,40.5858
