Test Number,Compression Level,No. Tests,Accuracy

0,90,30,88.7399
1,89,30,79.9099
2,88,30,93.7037
3,87,30,70.701
4,86,30,92.0468
5,85,30,85.8506
6,84,30,87.6071
7,83,30,93.2279
8,82,30,94.3889
9,81,30,76.7164
