Test Number,Compression Level,No. Tests,Accuracy

0,80,30,74.1224
1,79,30,77.8013
2,78,30,76.3471
3,77,30,80.1494
4,76,30,82.7201
5,75,30,81.5384
6,74,30,72.9924
7,73,30,68.574
8,72,30,73.2293
9,71,30,77.495
