Test Number,Compression Level,No. Tests,Accuracy

0,20,30,4.75003
1,19,30,5.58566
2,18,30,6.95832
3,17,30,7.14226
4,16,30,8.53042
5,15,30,3.41184
6,14,30,2.54016
7,13,30,2.05059
8,12,30,0.540016
9,11,30,0.300657
