Test Number,Compression Level,No. Tests,Accuracy

0,70,30,3.01228
1,69,30,0.99845
2,68,30,0.9
3,67,30,0.726191
4,66,30,1.83415
5,65,30,0.971365
6,64,30,0.644841
7,63,30,0.479766
8,62,30,1.36113
9,61,30,1.46696
