Test Number,Compression Level,No. Tests,Accuracy

0,60,30,0.208333
1,59,30,0.708995
2,58,30,0
3,57,30,0.277778
4,56,30,0.155039
5,55,30,0
6,54,30,0
7,53,30,0
8,52,30,0
9,51,30,0
