Test Number,Compression Level,No. Tests,Accuracy

0,100,10,35.4464
1,99,10,33.7296
2,98,10,15.3155
3,97,10,19.4857
4,96,10,37.0065
5,95,10,7.30769
6,94,10,7.18485
7,93,10,27.7467
8,92,10,19.4053
9,91,10,13.9252
