Test Number,Compression Level,No. Tests,Accuracy

0,90,30,8.77911
1,89,30,7.60585
2,88,30,3.9936
3,87,30,6.34069
4,86,30,7.67323
5,85,30,8.45696
6,84,30,3.35075
7,83,30,5.48377
8,82,30,4.90767
9,81,30,6.49753
