Test Number,Compression Level,No. Tests,Accuracy

0,50,30,36.1113
1,49,30,36.2203
2,48,30,38.1999
3,47,30,40.6681
4,46,30,40.8203
5,45,30,41.5519
6,44,30,38.6074
7,43,30,32.0482
8,42,30,25.7367
9,41,30,28.729
