Test Number,Compression Level,No. Tests,Accuracy

0,30,30,17.7315
1,29,30,23.3025
2,28,30,17.1267
3,27,30,19.1428
4,26,30,15.3392
5,25,30,14.5299
6,24,30,14.2372
7,23,30,11.1181
8,22,30,14.5425
9,21,30,8.20634
