Test Number,Compression Level,No. Tests,Accuracy

0,100,30,96.6667
1,99,30,100
2,98,30,93.3333
3,97,30,96.6667
4,96,30,93.3333
5,95,30,93.3333
6,94,30,100
7,93,30,89.2866
8,92,30,100
9,91,30,85.5238
