Test Number,Compression Level,No. Tests,Accuracy

0,80,30,3.24501
1,79,30,2.44482
2,78,30,4.73032
3,77,30,2.35742
4,76,30,1.28786
5,75,30,2.61044
6,74,30,3.0658
7,73,30,1.24055
8,72,30,2.74919
9,71,30,1.57159
