Test Number,Compression Level,No. Tests,Accuracy

0,70,30,72.2764
1,69,30,76.883
2,68,30,56.8795
3,67,30,54.3689
4,66,30,64.4226
5,65,30,50.9236
6,64,30,53.874
7,63,30,56.794
8,62,30,40.9754
9,61,30,49.3212
