Test Number,Compression Level,No. Tests,Accuracy

0,100,30,0
1,99,30,0
2,98,30,0
3,97,30,0
4,96,30,0
5,95,30,0
6,94,30,0
7,93,30,0
8,92,30,0
9,91,30,0
