Test Number,Compression Level,No. Tests,Accuracy

0,40,30,17.1057
1,39,30,32.7799
2,38,30,22.536
3,37,30,27.0536
4,36,30,23.8222
5,35,30,27.0088
6,34,30,23.5271
7,33,30,23.0734
8,32,30,20.8168
9,31,30,15.6944
